country,city
China,Beijing
Japan,Tokyo
DR Congo,Kinshasa
Russia,Moscow
Indonesia,Jakarta
South Korea,Seoul
Egypt,Cairo
Mexico,Mexico City
United Kingdom,London
Bangladesh,Dhaka
Peru,Lima
Iran,Tehran
Thailand,Bangkok
Vietnam,Hanoi
Saudi Arabia,Riyadh
Hong Kong,Hong Kong
Colombia,Bogotá
Iraq,Baghdad
Chile,Santiago
Singapore,Singapore
Turkey,Ankara
Germany,Berlin
Syria,Damascus
Algeria,Algiers
Spain,Madrid
North Korea,Pyongyang
Afghanistan,Kabul
Kenya,Nairobi
Ethiopia,Addis Ababa
Argentina,Buenos Aires
Italy,Rome
Ukraine,Kyiv
Cameroon,Yaoundé
Taiwan,Taipei
Brazil,Brasília
Jordan,Amman
Angola,Luanda
Guatemala,Guatemala City
South Africa,Pretoria
France,Paris
USA,New York
USA,Los Angeles
USA,San Francisco
China,Shanghai
China,Hotan
Poland,Orzesze
USA,Yosemite Lakes
Mali,Bamako
Canberra,Australia
